label,EOA,PS1,3Rtau,4Rtau,TDP43A,TDP43C,DLB,LOA
146,-6.0561428840789215,-3.6900873286091636,-1.8412695966048163,-1.3679668185636802,-2.0593426236146004,-0.226659301245574,-1.0250889001725432,-1.5549167301955984
147,-6.428707607138352,-4.041453706866495,-1.586156987075661,-1.1600906254222532,-2.7876799365339906,-1.0838780542080424,-2.440377914772867,-2.9539117835656414
148,-7.061277126314643,-4.322101722441411,-2.2008167731526798,-1.5606915620596247,-2.9626421687999467,-0.588132299364374,-0.9814377688528276,-1.6081018908856037
149,-7.413676119239569,-4.063841832772146,-2.3754980647053747,-1.5273465448964825,-2.1513082434666306,-0.3744937107399702,-1.7085644732957554,-2.424680387963675
150,-6.448861510333582,-3.42069716509596,-1.6327609301175394,-1.383153056033059,-1.9812025736966647,-1.1631749253583452,-2.4457735086556474,-2.690399389574047
151,-3.480942717900173,-1.7527870532611716,-3.1531861661271106,-2.271341873217168,-1.9199852392326824,-3.8759101553039548,-1.17236294948946,-2.1846429342205105
152,-6.3860433598794435,-3.158483624572998,-6.707820164947326,-3.9853996674544048,-3.548497229381494,-4.407363519748779,-2.3995000460598375,-2.7228744567002146
153,-4.642731308914063,-2.6262371211647504,-6.861342682102218,-3.1768598948352826,-4.6074266065923934,-2.220714347953307,-0.6617924957563485,-2.0705239340141497
154,-6.003001315768047,-2.8261198830438454,-4.839889615885953,-3.1409544736730375,-3.383531133655263,-3.282828636186463,-1.9546819081673965,-2.407388493091034
155,-5.164483792623472,-2.9642026573519344,-5.0912177389268525,-2.7082265641761554,-3.695867342286023,-1.3311588567743615,-0.018266150108717467,-1.4885853042642014
156,-7.30768317004928,-4.663652117541741,-6.668779201908518,-3.741835790963963,-4.123335425797507,-2.6141995519014496,-0.9485104960398492,-2.0448847941543478
157,-5.759874055365821,-3.745033368327394,-7.252876825139354,-3.293514689844551,-4.6342967773525405,-2.3483925091366076,-1.469530909136877,-2.0222851930098007
